Use_Code,Tax_Value,year_built,lot_size,finished_sq_feet,bathrooms,bedrooms,zestimate
SingleFamily,225541,1923,4664,936,1,2,403495
SingleFamily,96774,1965,7767,2032,2,4,655665
Townhouse,450210,2012,12143,1750,3,3,601967
SingleFamily,888826,1968,11891,2651,3,4,1158065
SingleFamily,202254,1975,7782,1930,2,4,613132
SingleFamily,141461,2005,3253,1159,2,4,348753
SingleFamily,757577,1941,5000,1347,1,2,1217973
SingleFamily,1474794,1993,8607,3645,3.5,4,2007538
SingleFamily,259739,1947,7501,918,2,4,498599
SingleFamily,1171131,1952,9603,2859,2,3,2841476
SingleFamily,409397,1955,6624,1469,2,4,571779
SingleFamily,515100,1954,7562,1220,3,3,564969
SingleFamily,157486,1924,5003,1160,1,3,1144844
SingleFamily,644620,1963,16883,2574,3,4,878787
SingleFamily,522449,1937,8520,2785,3,3,2263449
SingleFamily,185036,1951,6764,1813,2,3,955182
SingleFamily,469723,1924,6757,1513,2,2,1744265
SingleFamily,428e3,1922,5843,1130,1,3,472551
SingleFamily,51871,1949,8371,1267,2,3,700819
SingleFamily,378888,1965,10890,2280,3,5,785089
SingleFamily,49075,1955,5206,1342,1,4,466591
SingleFamily,400980,1940,7056,2000,2,4,859002
SingleFamily,318581,1918,6729,1588,2,3,1137915
MultiFamily2To4,255351,1921,5501,2280,1,1,1118748
SingleFamily,526063,1925,5407,2221,4,3,2078414
SingleFamily,259547,1885,8585,2060,1,3,870808
SingleFamily,328165,1952,5350,1631,4,3,817186
SingleFamily,1162567,1925,6455,1890,3,3,2165683
SingleFamily,277821,1954,6999,1515,2,2,670998
SingleFamily,2135032,2008,6979,4682,6,5,3569890
SingleFamily,392316,1970,8276,1629,2,3,609449
Condominium,292532,2011,26592,1557,3,4,468115
SingleFamily,65237,1960,7585,1150,2,3,633852
SingleFamily,453778,1922,5227,2660,1.5,3,567343
SingleFamily,1123110,1947,7199,2188,3,4,1968057
SingleFamily,1502350,1964,10886,2235,3,3,2035719
Condominium,772132,1980,787351,1961,3,2,1252234
SingleFamily,839930,1976,19677,4362,4,6,1714435
SingleFamily,706287,1932,19707,6590,5,6,5177291
SingleFamily,1562183,1956,9147,2932,3,4,1691007
SingleFamily,725537,1946,7200,1394,2,3,1187773
SingleFamily,370080,1950,23635,1726,2,3,573285
SingleFamily,1905360,1922,32220,10120,5,4,6349643
SingleFamily,314076,1975,7984,1694,2,3,733750
SingleFamily,387590,1956,7840,1350,2,3,580399
SingleFamily,363e3,1957,5633,1168,1,3,427800
Duplex,31826,1911,6122,1915,2,3,735012
Triplex,36912,1924,6601,2108,3,5,568151
SingleFamily,84434,1916,6647,1003,2,3,440877
SingleFamily,505871,1949,6494,1049,3,3,538002
SingleFamily,816609,2015,1071,1736,3,2,954099
SingleFamily,99651,1944,6239,1128,1,3,778248
SingleFamily,8335860,1937,54940,7295,7,8,17762169
SingleFamily,165972,1944,7975,1532,2,4,445601
SingleFamily,1578286,2004,80446,2314,4,3,1801818
SingleFamily,1458e3,2005,18621,4937,5,5,1490372
Duplex,581310,2000,8000,2229,3,5,705291
SingleFamily,74785,1925,8928,640,1,2,472452
SingleFamily,276380,1952,6414,1161,1,3,583935
SingleFamily,518695,1943,6008,1008,1,3,582929
SingleFamily,328392,1919,11044,1292,1,2,542666
SingleFamily,829166,1925,3497,1272,2,3,1369780
SingleFamily,230711,1949,6098,1564,2,3,542903
SingleFamily,1364e3,1951,16829,3600,4,4,1572577
SingleFamily,357946,1948,9419,1662,2,2,1065095
Duplex,133726,1924,4999,1984,4,4,945844
SingleFamily,262335,1951,6267,1763,1,2,618444
SingleFamily,271442,1963,11150,2157,3,4,757730
Duplex,528399,1936,6805,3951,3,5,1885759
SingleFamily,343730,1949,7841,2468,2,3,2723488
SingleFamily,349239,1961,7500,1932,2,3,620014
SingleFamily,214405,1931,4943,1175,1,2,452153
SingleFamily,635269,1997,5805,3804,3,4,1993974
SingleFamily,780967,1925,4548,962,1,2,965099
SingleFamily,13447784,2007,29437,11003,8,5,17715836
SingleFamily,264791,1951,6750,1480,2,3,904048
SingleFamily,977044,1958,10890,2027,3,3,1220565
SingleFamily,694188,1899,9786,3256,3,5,1390718
SingleFamily,324080,1955,5801,1171,2,3,542915
SingleFamily,55757,1947,5396,960,1,2,456961
SingleFamily,1060715,1948,7567,2365,3,5,1983003
SingleFamily,354721,1950,6655,1495,2,4,631100
SingleFamily,520639,1958,7563,1648,2,3,545836
SingleFamily,358484,1909,3955,1760,2,3,810057
SingleFamily,25367,1915,4488,1123,1,3,366998
SingleFamily,209826,1926,8625,2592,3,4,2732228
SingleFamily,832336,1947,7474,1494,1.75,4,992884
SingleFamily,667e3,1978,5202,3229,3,4,722688
SingleFamily,482137,1943,5662,2171,2,4,877094
SingleFamily,561708,1947,5699,2157,3,4,1857394
Duplex,508658,1903,5902,2086,2,3,1247054
SingleFamily,117814,1921,9079,2198,2,3,1725155
SingleFamily,515343,1960,21671,3566,4,5,964144
SingleFamily,111631,1924,4332,852,1,2,1574252
Condominium,314551,1987,3911,1746,3,4,586205
SingleFamily,407430,1961,6969,1347,2,3,577530
SingleFamily,416364,1910,5075,1196,1,2,420057
SingleFamily,453777,1951,8913,1040,1,3,688951
SingleFamily,92694,1902,5000,1048,1,2,408652
SingleFamily,180082,1962,12322,3070,3,5,909649
SingleFamily,644620,1955,21780,1619,2,3,850221
SingleFamily,370793,1949,10841,1630,2,2,656638
SingleFamily,364057,1947,11137,1881,2,3,1097173
Duplex,293595,1925,5415,1351,3,3,606166
SingleFamily,333553,1959,9943,1890,2,3,735272
Condominium,304110,2002,109022,1893,3,4,501136
SingleFamily,160431,1960,7502,2076,3,5,698203
SingleFamily,147600,1925,5000,784,1,2,533311
SingleFamily,487012,1957,8232,1493,2,4,615186
SingleFamily,317369,1921,6500,1840,1,2,1227542
SingleFamily,480560,1900,5998,1232,1.5,3,573948
SingleFamily,759531,1966,7750,1938,3,4,705283
SingleFamily,138917,1927,6250,1206,1,3,366855
SingleFamily,1055200,1909,14985,4231,3,5,2047488
SingleFamily,1935350,1947,5727,1616,2,3,3314553
SingleFamily,922364,1942,6000,1900,2,3,1338294
SingleFamily,1676e3,1927,6003,2076,2,3,2217126
SingleFamily,393175,1964,16925,1686,3,4,772243
SingleFamily,231532,1951,6749,1591,2,2,575053
Duplex,158394,1923,7067,4446,4,8,1810705
SingleFamily,245638,1907,6499,1248,1,2,634186
SingleFamily,363312,1963,7763,1934,2,4,994267
Triplex,860575,1922,6900,2528,3,3,1394956
SingleFamily,40880,1946,5063,810,1,2,609704
SingleFamily,332927,2013,3828,1500,2,4,421890
SingleFamily,380037,1927,6534,1694,2.5,3,596429
SingleFamily,372095,1941,7423,1571,2,3,717074
SingleFamily,59519,1923,6702,1217,2,3,522983
SingleFamily,476893,1961,7737,1740,2,3,950015
MultiFamily2To4,387600,1924,5227,1512,2,3,449333
SingleFamily,425e3,1945,8099,1302,2,3,490761
SingleFamily,1938e3,1940,6499,4000,6,5,2296507
SingleFamily,75625,1910,8878,1344,2,3,847780
SingleFamily,751563,1990,6766,3397,4,5,2619404
SingleFamily,854108,1954,17003,2799,3,4,2122452
SingleFamily,468179,1954,7840,1264,2,3,544081
Duplex,628495,1925,7503,2052,3,2,1321970
Triplex,332017,1922,7814,2712,3,6,793789
SingleFamily,357834,1927,6878,1866,2,3,1341612
SingleFamily,191144,1950,6049,1207,2,3,528481
SingleFamily,502e3,1954,7877,1844,2,3,620260
Condominium,488792,2004,83308,1996,3,4,507060
SingleFamily,53e4,1956,8189,1296,2,3,577051
SingleFamily,385764,1969,11800,2916,3,4,890130
SingleFamily,232994,1950,6910,1126,1,3,612314
SingleFamily,5861421,2008,14000,6362,6.5,6,7549693
SingleFamily,881980,1950,6051,2094,3,3,1066768
SingleFamily,592314,1959,9737,2769,3,5,1110515
Condominium,221817,1911,15921,642,1,1,484814
SingleFamily,607350,1959,7318,1880,2,3,677573
SingleFamily,336882,1950,5290,1284,2,3,406097
SingleFamily,1154130,1951,23773,2161,2,3,2979979
SingleFamily,777906,1947,5800,1387,2,3,1025955
SingleFamily,846600,1973,12937,2796,4,4,885998
SingleFamily,452491,1953,7405,1262,2,3,576569
SingleFamily,384947,1924,6751,1125,1,3,592765
SingleFamily,41964,1928,5309,1275,1,2,451906
Triplex,393604,1923,5905,2136,3,5,995401
SingleFamily,209078,1957,6905,965,1,2,783105
SingleFamily,477765,1924,10599,1591,1,4,717713
Condominium,495427,1968,87656,1582,3,2,946501
Triplex,130924,1950,9560,2024,3,3,667864
SingleFamily,256632,1960,7491,1250,2,3,612443
SingleFamily,5e5,1956,7392,1153,2,3,563171
