Use_Code,Tax_Value,year_built,lot_size,finished_sq_feet,bathrooms,bedrooms,zestimate
SingleFamily,448335,1942,5502,1206,1,2,631716
Duplex,508e3,1946,7784,1238,2,3,612397
SingleFamily,88502,1961,8251,1430,2,4,722734
SingleFamily,731387,1947,3500,1690,2,2,1458776
SingleFamily,169720,1924,3330,736,1,1,1708693
SingleFamily,30527,1926,13811,780,1,2,637011
SingleFamily,783452,1952,18525,4000,4,3,1274529
SingleFamily,71910,1958,20667,1084,2,3,542629
SingleFamily,321185,1987,7579,2751,3,5,738898
MultiFamily2To4,1251672,1929,6300,2730,4,4,2332418
SingleFamily,87424,1955,6555,1261,2,3,546822
SingleFamily,67966,1928,4795,1166,2,3,714894
SingleFamily,575e3,1950,6211,1272,1,3,603247
Condominium,1820700,1940,5366,2310,3,3,1530045
SingleFamily,277469,1952,12220,1545,2,2,826550
SingleFamily,184345,1937,4902,1612,2,3,1517462
SingleFamily,924230,1926,3206,1112,2,2,1235642
SingleFamily,1187082,1951,17003,3881,5,4,2984181
SingleFamily,358763,1930,7840,1164,1.5,2,658132
SingleFamily,1118092,1952,18097,5590,6,5,3035129
SingleFamily,384323,1929,5405,1100,1,2,421623
SingleFamily,483498,1931,6499,4390,5,6,3764482
SingleFamily,295753,1930,6000,1268,2,3,410018
SingleFamily,416091,1930,6882,1617,1.5,3,2026651
SingleFamily,297091,1928,7000,1958,2,3,776678
SingleFamily,662734,1966,6059,1778,3,4,666391
SingleFamily,120178,1964,14546,2566,3,4,984345
SingleFamily,275971,1952,5658,1558,2,3,524809
SingleFamily,418860,1907,4356,1952,2,5,584843
SingleFamily,350763,1946,5260,2129,3,5,1348246
MultiFamily2To4,1203600,1905,5858,3700,8,8,942215
SingleFamily,1029857,1981,4486,2734,2.5,3,807860
Duplex,1131476,1925,5313,1798,2,3,1614944
Triplex,66247,1932,6676,2767,3,7,686568
SingleFamily,526499,1965,7883,2468,3,4,686669
SingleFamily,328425,1941,9966,2547,2,3,3132967
SingleFamily,167580,1942,5400,913,1,2,369906
SingleFamily,331597,1954,6534,1553,2,3,691892
SingleFamily,609029,1920,4999,2361,3,3,634436
Condominium,1311327,1980,28062,2700,3,2,1683223
SingleFamily,82474,1959,7901,1570,2,3,685656
Triplex,227778,1961,8449,2735,3,7,660851
SingleFamily,384794,1952,5662,1352,2,3,509652
SingleFamily,571200,1964,7702,1650,2,3,660879
SingleFamily,279679,1977,11002,2748,3,4,833021
SingleFamily,516147,1931,6650,3688,6,4,2703305
SingleFamily,709953,1990,7053,3303,4,4,1199687
SingleFamily,593714,1963,6212,1888,2,4,721430
Duplex,33987,1925,4801,1726,2,5,548664
SingleFamily,774155,1950,6149,1661,3,3,1470974
Duplex,139982,1926,11849,1326,2,3,619026
SingleFamily,375080,1928,6249,2001,2,3,2042111
MultiFamily2To4,1266812,1973,16010,3100,6,9,1080011
SingleFamily,395566,1921,6852,2468,2,4,1516184
SingleFamily,1285e3,1988,11025,4694,5.5,5,1395997
SingleFamily,270144,1953,7685,1744,2,3,611122
SingleFamily,234389,1949,5961,1380,2,2,495773
Duplex,342733,1948,5003,1910,2,4,680287
SingleFamily,762225,1952,6611,1421,2,4,1075440
SingleFamily,107747,1952,5614,1523,3,3,881208
SingleFamily,50561,1947,7241,1022,1,3,448733
Duplex,419334,1902,5507,2196,2,4,516358
SingleFamily,617100,1964,6534,1629,2,4,727466
SingleFamily,5149980,2015,7515,4664,5,5,6075903
SingleFamily,2790456,1979,17539,4922,6,4,2468056
SingleFamily,427489,1964,8158,1760,2,4,641809
SingleFamily,506333,1958,7192,2067,3,3,1092314
SingleFamily,306165,1951,9312,1230,1,2,777994
SingleFamily,559172,1966,8458,2174,3,4,788406
SingleFamily,256905,1925,6430,1490,1,3,1263035
SingleFamily,352021,1986,13068,1620,2,4,556739
SingleFamily,614e3,1960,7627,1173,2,3,638679
Condominium,502272,2005,5662,1940,4,3,836129
SingleFamily,402279,1941,6753,1852,3,3,1042456
SingleFamily,268741,1947,6580,1096,2,3,632279
SingleFamily,284002,1961,6876,1510,2,3,625029
SingleFamily,82597,1927,4715,1914,1,3,644508
SingleFamily,1259391,1969,16810,3076,3,4,2452878
SingleFamily,60060,1939,6777,1095,1,2,448801
SingleFamily,531670,1953,7772,1539,2.5,4,731732
SingleFamily,418338,1942,7000,1984,3,3,1386612
SingleFamily,384752,1961,14058,2706,3,3,735318
SingleFamily,260795,1924,6749,1546,2,2,1580248
SingleFamily,662579,1954,7405,2496,2,3,916684
SingleFamily,217437,1956,6038,1766,3,6,535658
Duplex,737392,1906,4935,1757,2,4,1402271
SingleFamily,750827,1948,6534,1325,2,3,858411
Condominium,411252,1984,5100,1545,1,0,662235
SingleFamily,617100,1952,15755,1673,3,4,613608
SingleFamily,204938,1924,5101,1110,2,3,389313
SingleFamily,258319,1978,8495,2265,3,4,677539
SingleFamily,486967,1925,4486,1180,2,2,757422
SingleFamily,765906,1936,10297,1371,1,2,1217041
SingleFamily,338256,1929,3426,2168,2,4,1215577
SingleFamily,271190,1956,7840,1522,2,4,584881
SingleFamily,44543,1925,3213,768,1,2,1153827
SingleFamily,709032,1950,6220,1348,2,2,877360
SingleFamily,613108,1949,6882,1807,2,2,1249166
SingleFamily,353198,1953,16583,2478,4,4,811679
SingleFamily,35436,1926,6874,1246,1,4,362096
SingleFamily,198e3,1966,10434,1250,2,2,740487
SingleFamily,556e3,1947,10124,2187,2,3,660895
SingleFamily,243899,1956,6451,1600,2,3,635392
SingleFamily,230581,1965,9099,1887,2,4,646262
SingleFamily,216109,1930,5004,1158,2,3,511498
Duplex,47616,1916,2430,1287,2,2,519336
SingleFamily,414784,1912,5399,2202,1.5,3,512581
MultiFamily2To4,712e3,1965,5044,3048,4,5,799016
SingleFamily,338130,1941,6624,887,1,2,483912
SingleFamily,350141,1952,7496,1144,2,3,527259
SingleFamily,788184,1923,6500,1500,1.5,3,1931256
Duplex,325648,1921,6915,1482,2,3,496683
SingleFamily,478583,1958,7405,1696,3,5,568388
SingleFamily,187025,1935,5545,2073,2,2,2067728
SingleFamily,54028,1938,6026,1458,1,2,1220054
SingleFamily,205222,1948,5827,1328,2,4,802061
SingleFamily,49283,1929,3599,1250,1,3,871258
SingleFamily,323998,1949,8712,1686,2,4,517322
SingleFamily,689768,1959,18000,2850,3,3,2487423
SingleFamily,675586,1956,17289,2504,1.5,4,867066
SingleFamily,220776,1951,6190,1405,2,3,548415
SingleFamily,150033,1913,6855,1424,1,3,932784
SingleFamily,633118,1960,7304,2001,3,4,819113
Triplex,326532,1957,7241,1836,3,5,522746
SingleFamily,342394,1955,8602,1479,2,4,602745
SingleFamily,121785,1947,5502,1147,1,2,1364612
SingleFamily,18267,1923,6626,1431,1,3,711813
SingleFamily,230974,1956,8990,1358,2,3,619542
SingleFamily,809880,1976,4843,1504,2,4,971071
SingleFamily,41e4,1941,8102,1013,1,2,461536
SingleFamily,283840,1954,7369,1990,2,4,706469
SingleFamily,403493,1999,6304,1900,3,3,737015
SingleFamily,567645,1923,3411,1414,2,3,1026887
SingleFamily,263287,1950,8162,2094,3,4,660457
SingleFamily,391191,1979,12762,2604,3,4,866901
SingleFamily,180458,1940,5400,987,1,2,456020
SingleFamily,1258934,1966,9108,2400,2,3,2709515
SingleFamily,404024,1956,6969,1372,2,3,567381
SingleFamily,532078,1978,11761,2423,3,4,763222
Triplex,341656,1986,5000,3284,4,7,954511
SingleFamily,486652,1965,8216,2271,3,4,702749
SingleFamily,41e4,1953,6207,1342,2,3,515351
SingleFamily,464754,1949,6534,1324,2,3,550619
SingleFamily,260131,1966,13181,3044,4,4,1717158
SingleFamily,701e3,1941,6605,1194,1,2,717626
Duplex,467037,1922,7995,1706,2,4,659952
Duplex,356395,1903,6365,2420,2,3,840974
SingleFamily,895926,1960,6544,2186,2.75,3,1226380
SingleFamily,327440,1926,4778,1412,2,3,483283
SingleFamily,27951,1939,5031,919,1,2,363662
SingleFamily,860795,1926,6100,2068,3,3,2325256
SingleFamily,1456589,1965,19602,2928,3,4,2466583
SingleFamily,703800,1953,3749,826,1,2,826260
SingleFamily,388726,1931,4922,1246,1,2,1379872
SingleFamily,518963,1955,12376,1904,2,3,1381422
SingleFamily,66739,1951,6611,1281,1,3,583253
SingleFamily,128920,1925,4772,960,1,2,431160
SingleFamily,459e3,1905,4621,1440,1.5,2,602150
SingleFamily,169756,1955,7419,1321,2,3,717986
SingleFamily,449e3,2004,4958,1254,2,3,433126
SingleFamily,145986,1948,6250,1862,2,3,1669360
SingleFamily,571200,1922,4782,1100,2,3,759272
SingleFamily,182484,1922,7359,1225,1,2,726738
SingleFamily,272593,1952,3293,1354,2,3,1044640
Triplex,1458600,1935,7587,2819,3,4,1412684
SingleFamily,83604,1920,5107,1036,1,3,1267341
SingleFamily,637500,1953,21000,2800,4,5,801223
Condominium,364844,1995,78042,2018,3,4,644634
MultiFamily2To4,40026,1938,5000,1189,2,3,507971
Condominium,380844,1979,436585,1736,3,4,593765
SingleFamily,382305,2006,2396,1600,2.5,3,993581
SingleFamily,198737,1925,5871,1428,2,2,720159
SingleFamily,315731,1956,11304,1790,2,3,705559
SingleFamily,380039,1922,7000,1480,1,2,624429
SingleFamily,757781,1945,5750,1392,2,4,1326105
SingleFamily,614660,1983,12815,3596,3,4,982771
Duplex,180091,1922,6403,1698,2,2,508800
SingleFamily,228529,1918,5399,1092,1,2,522647
SingleFamily,86138,1954,7800,2079,2,5,648448
SingleFamily,380844,1941,6497,1719,2,2,806847
SingleFamily,19979,1923,2498,988,1,3,791339
SingleFamily,57698,1950,6187,1096,1,2,479778
SingleFamily,1970896,2001,4697,5625,7,5,4168451
SingleFamily,384324,1922,4674,1149,1,2,429832
Duplex,183001,1908,5810,1600,2,3,469083
SingleFamily,520868,1988,11279,2760,3,4,724191
SingleFamily,95785,1948,5025,1432,2,2,1321744
SingleFamily,39590,1923,6076,1350,1,3,589200
SingleFamily,106170,1956,5999,1634,3,3,852922
SingleFamily,946608,1947,7000,1443,2,3,1490253
Condominium,52e4,1988,1147,1147,2,3,381888
SingleFamily,537088,1909,6098,1144,1,2,578808
SingleFamily,243893,1953,6000,1276,2,3,551388
Duplex,322335,1951,6098,1872,2,4,703307
SingleFamily,196343,1954,10542,1275,2,3,612641
SingleFamily,577422,1948,153000,2476,2,5,740144
SingleFamily,1555500,1930,6464,1596,2,3,1764211
SingleFamily,22130,1906,5400,1266,1,3,392342
SingleFamily,2332270,1925,6728,3200,3,4,3425783
SingleFamily,39959,1954,3625,1038,1,3,480934
SingleFamily,277935,1924,3920,1304,1,2,404813
SingleFamily,529865,1914,5625,1601,1,2,656335
SingleFamily,251848,1953,6189,1262,2,3,523404
SingleFamily,463062,1989,9609,3072,3,3,888043
SingleFamily,209019,1937,6108,932,1,3,446530
Duplex,63904,1907,4721,1436,2,3,418789
SingleFamily,1259740,1924,5600,1749,3,5,2558284
SingleFamily,250939,1956,5967,1578,2,3,764298
SingleFamily,81508,1922,5396,1444,2,3,830799
Quadruplex,410677,1955,6881,3354,4,8,809393
SingleFamily,247940,1950,20188,3297,4,5,2341604
SingleFamily,824413,1926,4791,1593,2.5,4,1429158
Condominium,243483,1986,42819,1055,3,2,355069
SingleFamily,247990,1960,7747,1397,2,4,627795
SingleFamily,153530,1914,5460,888,1,2,405401
SingleFamily,295518,1924,7864,1682,3,4,880481
SingleFamily,114331,1941,7500,1736,3,4,516716
SingleFamily,765654,1960,10995,2271,3,5,750885
SingleFamily,1386474,1955,10609,2885,3,3,1814709
Condominium,243762,1979,71363,1262,2,3,476999
SingleFamily,19933,1922,8272,1066,1,3,611217
Triplex,446097,1950,9792,2776,3,6,1733650
SingleFamily,536560,1960,19499,3944,3,4,1064882
SingleFamily,727924,1949,6002,2023,3,4,1198900
Quadruplex,81757,1912,4803,2640,4,4,948350
SingleFamily,263674,1950,6922,2184,3,5,736791
SingleFamily,347069,1953,6050,2036,3,4,2153082
SingleFamily,209308,1923,4455,1186,2,1,978756
SingleFamily,505190,1991,13550,2710,2,4,900697
Townhouse,505e3,2005,24659,1690,3.25,4,550904
Duplex,471640,1970,6218,1488,2,4,718344
MultiFamily2To4,688500,1924,1800,1152,2,2,929885
Triplex,303030,1907,5155,3080,4,9,618367
SingleFamily,307698,1958,6878,1570,2,3,602878
Condominium,205170,1981,116460,1305,2,2,713157
SingleFamily,183291,1965,11500,2160,2,4,657186
Apartment,562987,1914,7350,3277,2,5,1098894
SingleFamily,113711,1946,7967,1956,3,3,1300078
SingleFamily,52e4,1954,8023,1216,2,3,563677
SingleFamily,496405,1949,5937,1583,2,3,1236501
SingleFamily,577750,1951,8061,2405,2,3,1145564
SingleFamily,194833,1955,6951,990,1,3,598206
SingleFamily,266590,1958,6218,1600,3,5,602841
SingleFamily,632400,1952,6969,2415,3,5,704254
SingleFamily,44e5,1963,11125,5350,7,5,5095375
SingleFamily,1034280,1936,5919,2400,5,4,1760332
SingleFamily,165641,1929,5867,1675,2,2,1658049
SingleFamily,683400,1924,6102,1690,2,4,697990
SingleFamily,503247,1949,8276,1752,2,3,651490
SingleFamily,187444,1949,8101,1491,2,2,959626
SingleFamily,783420,1950,10500,2736,3,3,1191653
SingleFamily,393645,1923,8642,1050,1,3,370676
SingleFamily,271678,1965,17976,3970,5,6,1562747
SingleFamily,387624,1919,3639,978,1,2,854506
SingleFamily,2257667,2006,7971,4345,5,5,2669625
SingleFamily,964432,1951,9000,1850,2,3,1550692
SingleFamily,512287,1956,7,1,3,4,685802
SingleFamily,71364,1923,5377,720,1,2,333769
SingleFamily,742499,1941,6275,2695,3,5,3233170
Duplex,478264,1961,9415,1825,2,4,665199
SingleFamily,274895,2003,2714,1232,2,4,352160
SingleFamily,45117,1913,5445,1494,1,2,624608
SingleFamily,133329,1962,10700,2109,2,3,1133095
MultiFamily2To4,288074,1951,10404,450,1,1,785519
SingleFamily,84625,1960,7503,1787,2,3,614307
SingleFamily,267341,1924,6753,1106,1,2,1711770
SingleFamily,1050906,1923,9896,2456,2,2,2144763
SingleFamily,6e5,1993,8712,2154,3,4,683628
Condominium,719498,2004,43391,2217,3,2,1367594
SingleFamily,433498,1953,5025,1252,1,3,674239
SingleFamily,270125,1922,3612,1397,4,4,505225
Condominium,363794,1960,4200,1264,1.5,3,1260270
SingleFamily,340331,1973,8276,2220,3,4,703484
Condominium,571e3,2005,190598,2457,3,4,610236
SingleFamily,1587559,1926,11268,4250,4,5,3163205
SingleFamily,1578286,2004,80446,2314,4,3,1801818
